,SPEND,CLICKS,IMPRESSIONS,SEARCH_IMPRESSION_SHARE,CPC,ELIGIBLE_IMPRESSIONS,lag_SPEND,lag_CLICKS,lag_IMPRESSIONS,lag_ELIGIBLE_IMPRESSIONS,rolling_7_SPEND,rolling_14_SPEND,rolling_7_CLICKS,rolling_14_CLICKS,rolling_7_IMPRESSIONS,rolling_14_IMPRESSIONS,rolling_7_ELIGIBLE_IMPRESSIONS,rolling_14_ELIGIBLE_IMPRESSIONS
2022-06-02,9051.04,1095.0,8217.0,1.75,8.265789954337901,4695.428571428572,9283.05,979.0,7469.0,4526.666666666667,9402.992857142857,9165.954285714286,842.2857142857143,948.2857142857143,5727.285714285715,6322.428571428572,3783.045739009852,3850.5718813844496
2022-06-03,8802.380000000001,976.0,7078.0,1.68,9.018831967213115,4213.095238095239,9051.04,1095.0,8217.0,4695.428571428572,9336.302857142857,9143.370714285715,867.4285714285714,938.4285714285714,5958.0,6307.571428571428,3760.573630166314,3870.1945142213685
2022-06-04,5397.05,520.0,3619.0,1.7200000000000002,10.378942307692308,2104.06976744186,8802.380000000001,976.0,7078.0,4213.095238095239,8998.094285714285,9173.930714285714,836.5714285714286,936.7142857142857,5920.142857142857,6316.142857142857,3647.082530845643,3882.4031282335927
2022-06-05,5899.429999999999,538.0,4685.0,1.65,10.965483271375463,2839.3939393939395,5397.05,520.0,3619.0,2104.06976744186,8783.685714285715,9104.885714285714,828.7142857142857,936.4285714285714,6061.428571428572,6398.5,3652.710236473348,3943.4834336959207
2022-06-06,5171.7,548.0,3415.0,1.84,9.437408759124088,1855.9782608695648,5899.429999999999,538.0,4685.0,2839.3939393939395,8025.0085714285715,8714.325,822.5714285714286,899.7142857142857,5980.714285714285,6122.142857142857,3598.427837143318,3760.728634147643
2022-06-07,10935.98,1610.0,10143.0,1.63,6.792534161490683,6222.699386503068,5171.7,548.0,3415.0,1855.9782608695648,7791.518571428572,8747.974285714286,895.1428571428571,912.9285714285714,6375.142857142857,6195.428571428572,3779.61883291413,3833.0847127754128
2022-06-08,11159.21,1646.0,9219.0,1.54,6.779592952612394,5986.363636363636,10935.98,1610.0,10143.0,6222.699386503068,8059.541428571428,8804.194285714286,990.4285714285714,939.5,6625.142857142857,6246.5,3988.1469714422683,3919.43010895227
2022-06-09,11090.8,1539.0,8727.0,1.63,7.206497725795972,5353.98773006135,11159.21,1646.0,9219.0,5986.363636363636,8350.935714285713,8876.964285714286,1053.857142857143,948.0714285714286,6698.0,6212.642857142857,4082.226851246952,3932.636295128402
2022-06-10,10299.46,1410.0,7803.0,1.7200000000000002,7.304581560283688,4536.627906976743,11090.8,1539.0,8727.0,5353.98773006135,8564.804285714285,8950.55357142857,1115.857142857143,991.6428571428571,6801.571428571428,6379.785714285715,4128.445803944309,3944.509717055312
2022-06-11,9388.9,1065.0,4701.0,1.63,8.815868544600939,2884.0490797546013,10299.46,1410.0,7803.0,4536.627906976743,9135.06857142857,9066.581428571428,1193.7142857142858,1015.1428571428571,6956.142857142857,6438.142857142857,4239.8714199889855,3943.4769754173144
